"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 06 17:08:12 CST 2021","Sat Mar 06 17:08:12 CST 2021","957","","test_member","TestContact","","","test_addmember[user_A_0004]",""
"passed","Sat Mar 06 17:08:08 CST 2021","Sat Mar 06 17:08:09 CST 2021","977","","test_member","TestContact","","","test_addmember[user_A_0002]",""
"passed","Sat Mar 06 17:08:18 CST 2021","Sat Mar 06 17:08:19 CST 2021","942","","test_member","TestContact","","","test_addmember[user_B_0003]",""
"passed","Sat Mar 06 17:08:16 CST 2021","Sat Mar 06 17:08:17 CST 2021","908","","test_member","TestContact","","","test_addmember[user_B_0002]",""
"passed","Sat Mar 06 17:08:13 CST 2021","Sat Mar 06 17:08:14 CST 2021","888","","test_member","TestContact","","","test_addmember[user_A_0005]",""
"passed","Sat Mar 06 17:08:15 CST 2021","Sat Mar 06 17:08:16 CST 2021","913","","test_member","TestContact","","","test_addmember[user_B_0001]",""
"passed","Sat Mar 06 17:08:05 CST 2021","Sat Mar 06 17:08:08 CST 2021","2649","","test_member","TestContact","","","test_addmember[user_A_0001]",""
"passed","Sat Mar 06 17:08:26 CST 2021","Sat Mar 06 17:08:27 CST 2021","1040","","test_member","TestContact","","","test_addmember[user_C_0003]",""
"passed","Sat Mar 06 17:08:22 CST 2021","Sat Mar 06 17:08:23 CST 2021","992","","test_member","TestContact","","","test_addmember[user_C_0001]",""
"passed","Sat Mar 06 17:08:29 CST 2021","Sat Mar 06 17:08:30 CST 2021","1113","","test_member","TestContact","","","test_addmember[user_C_0005]",""
"passed","Sat Mar 06 17:08:19 CST 2021","Sat Mar 06 17:08:20 CST 2021","1009","","test_member","TestContact","","","test_addmember[user_B_0004]",""
"passed","Sat Mar 06 17:08:10 CST 2021","Sat Mar 06 17:08:11 CST 2021","951","","test_member","TestContact","","","test_addmember[user_A_0003]",""
"passed","Sat Mar 06 17:08:24 CST 2021","Sat Mar 06 17:08:25 CST 2021","1059","","test_member","TestContact","","","test_addmember[user_C_0002]",""
"passed","Sat Mar 06 17:08:27 CST 2021","Sat Mar 06 17:08:29 CST 2021","1151","","test_member","TestContact","","","test_addmember[user_C_0004]",""
"passed","Sat Mar 06 17:08:21 CST 2021","Sat Mar 06 17:08:22 CST 2021","1031","","test_member","TestContact","","","test_addmember[user_B_0005]",""
